Project Name,Bharat Go,,,,,,,,,
Created By,Vishal,,,,,,,,,
Date of Creation,27-01-2025,,,,,,,,,
Date of Review,28-01-2025,,,,,,,,,
,,,,,,,,,,
Test case ID,Test scenario,Test case,Pre requisite,Test steps,Test data,Expected Result,Actual Result,Status,Comment,Excute by
TC001,To verify login functionality valid data,Enter by valid 10 digit login  number,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Enter valid Phone no
2) Click on the get started button",9667950075,"Get Started button is enabled, and the number is accepted.",Accepted,Pass,,Vishal
TC002,To verify login functionality invalid data,Enter by invalid login number,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Enter invalid Phone no
2) Click on the get started button","99999
or
96665889785547","Get Started button is disabled, and the number is not accepted.",Not accepted,Pass,,Vishal
TC003,To verify login functionality using special character,Enter by alphabets and Special character,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Enter special charater 
2) Click on the get started button","abcd
or
@#$%^^&*(!@",Should not accepted,Not accepted,Pass,,Vishal
TC004,To verify login functionality keep blank,Verify by blank textfield,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Nothing to write
2) Click on the get started button",,Get Started button is disabled,Disabled,Pass,,Vishal
TC005,Verify country code ,Verify country code of login page,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login",,,Should be displayed,It is displayed,Pass,,Vishal
TC006,Verify country code ,Verify country code  don't use ,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login",,,"Get Started button is disabled, and the number is not accepted.",Not accepted,Pass,,Vishal
TC007,verify symbol,Verify country flag ,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login",,,Should be displayed,It is displayed,Pass,,Vishal
TC008,To verify login functionality ,Verify placeholder,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login",,,Should be displayed,It is displayed,Pass,,Vishal
TC009,To verify login functionality,"Verify to click ""Terms"" and ""Conditions"" ","1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Click on ""Terms"" and ""Conditions"" ",,"""Terms"" and ""Conditions"" should be displayed",It is displayed,Pass,,Vishal
TC010,To verify login functionality,"Verify to click ""Privacy Policy"" ","1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Click on ""Privacy Policy"" ",,"""Privacy Policy"" should be displayed",It is displayed,Pass,,Vishal
TC011,To verify OTP functionality page,Verigy to enter a valid 6-digit OTP,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Enter a valid 6-digit OTP.
2) Observe the behavior after input.
3) Click ""Verify"".",844744,"OTP is accepted, and user proceeds to the next screen.",Accepted,Pass,,Vishal
TC012,Verify OTP less than 6 digits,Enter fewer than 6 digits,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Enter a number with fewer than 6 digits.
2) Click ""Verify"".",123,Continue button is disabled.,Disabled,Pass,,Vishal
TC013,Verify OTP more than 6 digits,Enter more than 6 digits,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Enter a number with more than 6 digits.
2) Click ""Verify"".",123456789,Input should restrict additional digits beyond 6.,restrict additional digits,Pass,,Vishal
TC014,Validate OTP with alphabets,Enter alphabets instead of numbers,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Enter alphabets in the input field.
2) Click ""Verify"".",abc123,Textfield should not acceptable,Not accepted,Pass,,Vishal
TC015,Validate OTP with special characters,Enter special characters in the input field,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Enter characters like @#$%^&.
2) Click ""Verify"".",!@#123,Textfield should not acceptable,Not accepted,Pass,,Vishal
TC016,Verify blank OTP input,Leave the OTP field blank,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Do not enter any OTP.
2) Click ""Verify"".",None,Verify button remains disabled until input is provided.,Disabled,Pass,,Vishal
TC017,Validate timer functionality,"Check if ""Resend OTP"" timer works","1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Wait for the timer to complete.
2) Click ""Resend OTP"".",None,"Timer reaches 0 and ""Resend OTP"" becomes clickable.",Clickable,Pass,,Vishal
TC018,Verify Resend OTP functionality,Test Resend OTP button behavior,"1) Open the browser
2) Enter the URL:- https://seller.bharatgo.com/login","1) Click ""Resend OTP"".
2) Check if a new OTP is sent.",None,New OTP is sent successfully.,Successfully sent,Pass,,Vishal
